Model,SoldPrice,Kilometers,Year,Owner,ConditionScore,Brand,Age,OwnerRank,FuelType_Diesel,FuelType_Petrol,Transmission_AUTOMATIC,Transmission_MANUAL,FeaturesVector
wagon r1.0 lxi,3745.98,82238,2014,First Owner,8.4,maruti,12,1,0,1,0,1,"[0.42857142857142855, 0.09512051913054057, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
etios liva,3765.59,30558,2013,First Owner,8.8,toyota,13,1,0,1,0,1,"[0.49999999999999994, 0.034673812353210876, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
alto800,3551.99,22164,2018,First Owner,9.6,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.02485590103957107, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
swift,5222.39,30535,2013,First Owner,8.6,maruti,13,1,1,0,0,1,"[0.49999999999999994, 0.03464691076157236, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
wagon r1.0,3469.19,15738,2013,First Owner,8.6,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.017339830262653105, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
elitei20 asta1.2,8498.39,32652,2018,First Owner,9.4,hyundai,8,1,0,1,1,0,"[0.14285714285714285, 0.03712302682673503, 0.8500000000000001, 0.0, 1, 0, 0, 1]"
grandi10 sportz1.2 kappa,4929.46,32496,2013,First Owner,8.8,hyundai,13,1,0,1,0,1,"[0.49999999999999994, 0.03694056385736074, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
elitei20 asta,7279.19,27487,2015,First Owner,9.2,hyundai,11,1,0,1,0,1,"[0.35714285714285715, 0.031081865052259267, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
celerio,5510.39,41383,2018,First Owner,8.8,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.047335104939600074, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
wagon r1.0,3190.79,65476,2012,First Owner,8.6,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.07551510699815665, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
swift dzire vxi1.2 bs,5123.99,27992,2013,First Owner,8.8,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.03167253043388758, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
dzire,8057.99,14061,2018,First Owner,9.6,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.015378353341879461, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
civic1.8 s,1762.44,52138,2007,Third Owner,8.0,honda,19,3,0,1,0,1,"[0.9285714285714284, 0.059914523116654655, 0.5, 1.0, 1, 0, 1, 0]"
alto k10 vxi,3481.19,46410,2014,Second Owner,7.8,maruti,12,2,0,1,1,0,"[0.42857142857142855, 0.05321485716424474, 0.44999999999999996, 0.5, 1, 0, 0, 1]"
alto800 lxi,3424.79,47168,2016,First Owner,8.4,maruti,10,1,0,1,0,1,"[0.28571428571428564, 0.05410144005389675, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
verna fluidic1.6 ex,6356.39,72813,2013,First Owner,8.4,hyundai,13,1,0,1,0,1,"[0.49999999999999994, 0.08409671473084374, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
etios cross1.4,5092.79,79123,2015,First Owner,8.6,toyota,11,1,1,0,0,1,"[0.35714285714285715, 0.09147710791515004, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
city svcvt,7389.59,72097,2016,First Owner,8.8,honda,10,1,0,1,1,0,"[0.28571428571428564, 0.08325925648679249, 0.7000000000000002, 0.0, 1, 0, 0, 1]"
vento highline,4967.99,151201,2014,First Owner,8.6,volkswagen,12,1,1,0,0,1,"[0.42857142857142855, 0.1757820175725875, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
magnao,3938.39,73356,2012,First Owner,8.6,hyundaii20,14,1,0,1,0,1,"[0.5714285714285714, 0.08473182622039656, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
polo gt,11386.79,14516,2018,First Owner,9.8,volkswagen,8,1,0,1,0,1,"[0.14285714285714285, 0.01591053700255448, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
tuv300,7876.79,34658,2016,First Owner,9.0,mahindra,10,1,1,0,0,1,"[0.28571428571428564, 0.039469313471381384, 0.75, 0.0, 0, 1, 1, 0]"
amaze1.5 vcvt,8386.79,53486,2018,First Owner,9.0,honda,8,1,1,0,1,0,"[0.14285714285714285, 0.06149119031355559, 0.75, 0.0, 0, 1, 0, 1]"
nano xt,1207.19,35905,2014,First Owner,8.6,tata,12,1,0,1,0,1,"[0.42857142857142855, 0.040927847591956654, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
